name_fa,name_en,gender
سمانه,smaneh,female
سهراب,shrab,male
سهند,shnd,male
سودابه,sodabeh,female
سورن,sorn,male
سورنا,sorna,male
سوری,sori,female
سوزان,sozan,female
سوسن,sosn,female
سوشیانت,soshiant,male
سوشیانس,soshians,male
سوگل,sogl,female
سوگند,sognd,female
سپنتا,spnta,male
سپهر,sphr,male
سپیده,spideh,female
سیامک,siamk,male
سیاوش,siaosh,male
سیروان,siroan,male
سیروس,siros,male
سیما,sima,female
سیمین,simin,female
سینا,sina,male
شادان,shadan,female
شادمهر,shadmhr,male
شادی,shadi,female
شانا,shana,female
شانار,shanar,female
شاهرخ,shahrkh,male
شاهکام,shahkam,male
شاهین,shahin,male
شاپرک,shaprk,female
شاپری,shapri,female
شاپور,shapor,male
شایا,shaia,male
شایان,shaian,male
شایسته,shaisteh,female
شباهنگ,shbahng,male
شبره,shbreh,female
شبنم,shbnm,female
شراگیم,shragim,male
شرمینه,shrmineh,female
شروین,shroin,male
شقایق,shghaigh,female
شمیلا,shmila,female
شمیم,shmim,female
شهاب,shhab,male
شهبد,shhbd,male
شهراد,shhrad,male
شهرام,shhram,male
شهربانو,shhrbanoo,female
شهرخ,shhrkh,female
شهرداد,shhrdad,male
شهرزاد,shhrzad,female
شهرناز,shhrnaz,female
شهره,shhreh,female
شهروز,shhroz,male
شهریار,shhriar,male
شهریوش,shhriosh,male
شهناز,shhnaz,female
شهنام,shhnam,male
شهپر,shhpr,female
شهیار,shhiar,male
شهین,shhin,female
شورانگیز,shorangiz,female
شوپه,shopeh,male
شوکا,shoka,female
شکوفه,shkofeh,female
شکوه,shkoeh,female
شکیبا,shkiba,female
شکیلا,shkila,female
شیدا,shida,female
شیده,shideh,female
شیرزاد,shirzad,male
شیرنگ,shirng,male
شیرویه,shiroieh,male
شیریزدان,shirizdan,male
شیرین,shirin,female
شیرین‌بانو,shirin banoo,female
شیفته,shifteh,female
شیلا,shila,female
شیما,shima,female
شیوا,shioa,female
غمزه,ghmzeh,female
غنچه,ghncheh,female
فاختک,fakhtk,female
فرامرز,framrz,male
فرانک,frank,female
فربد,frbd,male
فرخ,frkh,male
فرخان,frkhan,male
فرخزاد,frkhzad,male
فرداد,frdad,male
فردین,frdin,male
فرزاد,frzad,male
فرزام,frzam,male
فرزان,frzan,male
فرزین,frzin,male
فرسا,frsa,male
فرشاد,frshad,male
فرشته,frshteh,female
فرشید,frshid,male
فرمان,frman,male
فرناد,frnad,male
فرنام,frnam,male
فرنوش,frnosh,female
فرنیا,frnia,female
فرهاد,frhad,male
فرهام,frham,male
فرهنگ,frhng,male
فرهود,frhod,male
فرود,frod,male
فرورتیش,frortish,male
فروزنده,frozndeh,female
فروغ,frogh,female
فروهر,frohr,male
فریاد,friad,male
فریبا,friba,female
فریبرز,fribrz,male
فریما,frima,female
فریماه,frimaeh,female
فرین,frin,female
فریناز,frinaz,female
فهام,fham,male
فوژان,fozhan,female
فیروز,firoz,male
فیروزه,firozeh,female
قشنگ,ghshng,female
لادن,ladn,female
لاله,laleh,female
لاله‌رخ,lalh rkh,female
لهراسب,lhrasb,male
لُردا,lorda,female
ماتیسا,matisa,female
مازون,mazon,female
مازیار,maziar,male
مامک,mamk,female
مانا,mana,female
ماندان,mandan,female
ماندانا,mandana,female
مانلی,manli,female
مانی,mani,male
ماهان,mahan,male
ماهتو,mahtoo,female
ماهدخت,mahdkht,female
ماهزاد,mahzad,female
ماهنوش,mahnosh,female
ماهک,mahk,female
ماه‌برزین,mah brzin,female
ماه‌تی‌تی,mah ti ti,female
ماه‌جهان,mah jhan,female
ماه‌پری,mah pri,female
ماه‌چهر,mah chhr,female
ماکان,makan,male
مرجان,mrjan,female
مرجانه,mrjaneh,female
مرداس,mrdas,male
مرداویج,mrdaoij,male
مرزبان,mrzban,male
مروارید,mroarid,female
مزدک,mzdk,male
مستانه,mstaneh,female
مسل,msl,female
مشکان‌دخت,mshkan dkht,female
مشکین‌دخت,mshkin dkht,female
منوچهر,mnochhr,male
منیژه,mnizheh,female
مهبد,mhbd,male
مهتا,mhta,female
مهتاب,mhtab,female
مهداد,mhdad,male
مهدخت,mhdkht,female
مهدیار,mhdiar,male
مهدیس,mhdis,female
مهدیه,mhdieh,female
مهرآذر,mhrazr,female
مهرا,mhra,female
مهراب,mhrab,male
مهراد,mhrad,female
مهران,mhran,male
مهرانه,mhraneh,female
مهرانگیز,mhrangiz,female
مهربانو,mhrbanoo,female
مهرخ,mhrkh,female
مهرداد,mhrdad,male
مهرریز,mhrriz,female
مهرزاد,mhrzad,male
مهرسا,mhrsa,female
مهرشاد,mhrshad,male
مهرمردان,mhrmrdan,male
مهرنگ,mhrng,male
مهروا,mhroa,female
مهرک,mhrk,female
مهرگان,mhrgan,male
مهری,mhri,female
مهزاد,mhzad,male
مهزیار,mhziar,male
مهسا,mhsa,female
مهستی,mhsti,female
مهشید,mhshid,female
مهناز,mhnaz,female
مهنوش,mhnosh,female
مهکامه,mhkameh,female
مهیار,mhiar,male
مهین,mhin,female
مونا,mona,female
موژان,mozhan,female
مژده,mzhdeh,female
مژگان,mzhgan,female
مکابیز,mkabiz,male
میترا,mitra,female
میخک,mikhk,female
میشکا,mishka,female
میلاد,milad,male
مینا,mina,female
مینو,minoo,female
میگل,migl,female
نازآفرین,nazafrin,female
نازنین,naznin,female
نازگل,nazgl,female
نازیلا,nazila,female
نامآور,namaor,male
ناهید,nahid,female
ناژیلا,nazhila,female
ناژین,nazhin,female
نرمن,nrmn,male
نرمین,nrmin,female
نرگس,nrgs,female
نریمان,nriman,male
نسترن,nstrn,female
نسرین,nsrin,female
نهال,nhal,female
نوا,noa,female
نوذر,nozr,male
نوشزاد,noshzad,male
نوشین,noshin,female
نوش‌آفرین,nosh afrin,female
نوژن,nozhn,male
نوید,noid,male
نکیسا (نگیسا),nkisa ngisa,male
نگار,ngar,female
نگین,ngin,female
نیاسا,niasa,male
نیشا,nisha,female
